School Name,Year of Tour,W-L%,SRS,SOS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Round Reached,Region
Virginia,2018-'19,0.921,25.46,10.15,974,2056,0.474,321,813,0.395,445,598,0.744,342,1326,544,211,149,7,South
Texas Tech,2018-'19,0.816,22.79,9.53,990,2110,0.469,277,759,0.365,508,694,0.732,315,1297,518,278,186,6,West
Auburn,2018-'19,0.75,20.84,10.92,1097,2439,0.45,454,1204,0.377,540,760,0.711,457,1369,572,369,190,5,Midwest
Michigan State,2018-'19,0.821,24.93,12.34,1071,2230,0.48,319,844,0.378,564,749,0.753,414,1579,715,201,205,5,East
Duke,2018-'19,0.842,26.9,11.98,1157,2418,0.478,278,903,0.308,551,803,0.686,495,1567,606,346,257,4,East
Gonzaga,2018-'19,0.892,27.79,5.01,1177,2239,0.526,287,790,0.363,602,791,0.761,354,1443,668,278,204,4,West
Kentucky,2018-'19,0.811,21.43,10.29,978,2050,0.477,215,607,0.354,635,859,0.739,427,1428,501,220,176,4,Midwest
Purdue,2018-'19,0.722,21.4,11.99,967,2145,0.451,365,977,0.374,461,641,0.719,421,1341,518,220,143,4,South
Florida State,2018-'19,0.784,17.99,10.26,960,2171,0.442,272,819,0.332,579,778,0.744,418,1391,475,266,161,3,West
Houston,2018-'19,0.892,18.91,4.61,982,2203,0.446,333,939,0.355,490,697,0.703,448,1502,548,240,161,3,Midwest
LSU,2018-'19,0.8,16.5,9.16,988,2162,0.457,236,740,0.319,603,802,0.752,460,1355,452,308,148,3,East
Michigan,2018-'19,0.811,21.82,10.55,941,2102,0.448,287,839,0.342,406,579,0.701,299,1307,512,225,149,3,West
Oregon,2018-'19,0.658,13.95,6.13,958,2126,0.451,295,840,0.351,450,624,0.721,361,1307,501,290,162,3,South
Tennessee,2018-'19,0.838,21.55,10.16,1106,2231,0.496,262,714,0.367,561,744,0.754,379,1391,660,221,199,3,South
UNC,2018-'19,0.806,23.94,11.35,1118,2410,0.464,312,862,0.362,541,728,0.743,477,1589,678,252,120,3,Midwest
Virginia Tech,2018-'19,0.743,19.28,7.79,893,1900,0.47,327,831,0.394,461,606,0.761,310,1142,531,236,78,3,East
Baylor,2018-'19,0.588,13.38,9.26,869,1966,0.442,274,803,0.341,430,635,0.677,450,1281,473,209,159,2,West
Buffalo,2018-'19,0.889,15.56,2.62,1083,2344,0.462,344,1022,0.337,527,767,0.687,452,1470,599,263,140,2,West
Florida,2018-'19,0.556,15.42,11.22,857,2015,0.425,291,872,0.334,435,603,0.721,375,1201,437,257,131,2,West
Iowa,2018-'19,0.657,14.27,9.84,914,2006,0.456,285,782,0.364,627,849,0.739,357,1246,542,211,112,2,South
Kansas,2018-'19,0.722,18.35,12.79,989,2128,0.465,260,743,0.35,487,691,0.705,374,1376,478,243,139,2,Midwest
