predict,p1,p2,p3,p4,p5,p6,p7,School Name,Year of Tour,W-L%,SRS,SOS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Region,,PREDICT,AVG_FGA,AVG_SOS,AVG_SRS,AVG_FG,AVG_TRB
7,0.565175917,0.428367461,0,4.49E-04,0.002606301,0.001357606,0.002044163,Iowa,2019-'20,0.645,16.07,10.62,842,1868,0.451,244,703,0.347,482,643,0.75,356,1162,538,191,120,Midwest,,7,1868,10.62,16.07,842,1162
6,0.743357608,0.137053723,0.095302257,0.019423508,0.002109528,0.00109884,0.001654536,San Diego St,2019-'20,0.938,18.38,3.93,852,1820,0.468,291,765,0.38,400,519,0.771,297,1121,473,221,88,West,,6,1820,3.93,18.38,852,1121
5,0.594136342,0.073425013,0.014146103,0.141730483,0.142689851,8.16E-04,0.03305668,Dayton,2019-'20,0.935,19.17,3.69,905,1725,0.525,249,672,0.371,421,585,0.72,242,1085,546,176,109,East,,5,1825,4.465,15.72,913.5,1087
5,0.552647751,0.058173448,0.087260171,0.014820378,0.107568376,8.38E-04,0.178691447,Saint Mary's,2019-'20,0.765,12.27,5.24,922,1925,0.479,276,697,0.396,439,582,0.754,260,1089,404,224,68,South,,4,1785.25,8.225,19.5825,824.75,1199.75
4,0.559309295,0.227985122,0.111861859,0.045170884,0.002476077,0.051254737,0.001942026,West Virginia,2019-'20,0.677,18.51,10.64,774,1833,0.422,155,542,0.286,476,742,0.642,470,1254,383,238,111,East,,3,1789.25,9.2125,16.695,811.5,1098.5
4,0.457084445,0.239425186,0.06304613,0.141853793,0.017505951,0.016670189,0.064414305,Kansas,2019-'20,0.903,24.96,11.63,851,1758,0.484,199,578,0.344,411,616,0.667,333,1196,432,237,145,Midwest,,2,1854.5,7.74875,16.305625,834.25,1201.375
4,0.655851789,0.154553596,0.117716988,0.033953743,0.035494626,9.69E-04,0.001459769,Virginia,2019-'20,0.767,12.16,7.5,626,1515,0.413,170,560,0.304,289,403,0.717,243,1025,343,161,147,South,,1,1824.8125,1.2634375,7.4321875,824.71875,1161.25
4,0.422034615,0.178553106,0.048696302,0.211017307,0.098802623,0.002964798,0.037931248,Gonzaga,2019-'20,0.939,22.7,3.13,1048,2035,0.515,246,637,0.386,543,789,0.688,375,1324,550,243,127,West,,,,,,,
3,0.75723901,0.165699693,0.036059,0.03640242,0.001995427,0.001039406,0.001565045,Butler,2019-'20,0.71,15.56,9.14,776,1687,0.46,212,621,0.341,361,496,0.728,280,1079,395,165,82,East,,,,,,,
3,0.661543515,0.118920322,0.215001642,3.15E-04,0.001830419,9.53E-04,0.001435627,Villanova,2019-'20,0.774,16.84,10.03,797,1806,0.441,307,854,0.359,368,485,0.759,271,1112,449,175,81,East,,,,,,,
3,0.703843467,0.20214552,0.065985325,0.022414063,0.002434323,0.001268024,0.001909278,Providence,2019-'20,0.613,13.45,8.19,764,1852,0.413,225,678,0.332,461,664,0.694,406,1172,445,257,102,Midwest,,,,,,,
3,0.667050037,0.214602625,0.113886592,3.10E-04,0.001800639,9.38E-04,0.00141227,Wisconsin,2019-'20,0.677,15.95,10.95,730,1718,0.425,269,764,0.352,353,462,0.764,251,1051,373,138,114,Midwest,,,,,,,
3,0.800595737,0.004013011,0.168546471,4.01E-04,0.002331749,0.022282903,0.001828828,Creighton,2019-'20,0.774,17.24,9.61,866,1839,0.471,302,783,0.386,394,533,0.739,246,1079,489,203,79,South,,,,,,,
3,0.609272004,0.107762395,0.121854401,0.104446629,0.001926617,0.053226877,0.001511076,Ohio St,2019-'20,0.677,19.37,10.24,753,1690,0.446,261,700,0.373,467,621,0.752,308,1140,412,156,107,South,,,,,,,
3,0.504585022,0.036587875,0.149081938,0.011686276,0.142159834,6.61E-04,0.155237929,BYU,2019-'20,0.75,16.93,6.45,949,1897,0.5,332,785,0.423,318,454,0.7,209,1061,554,186,67,West,,,,,,,
3,0.537833667,0.127460027,0.062538799,0.012746003,0.117527788,7.21E-04,0.141172641,Oregon,2019-'20,0.774,18.22,9.09,857,1825,0.47,269,680,0.396,369,527,0.7,336,1094,446,241,102,West,,,,,,,
2,0.71021727,0.219316733,0.021521735,0.043453409,0.002381932,0.001240734,0.001868187,Florida,2019-'20,0.613,14.94,9.1,791,1729,0.457,221,636,0.347,425,588,0.723,313,1080,368,178,121,East,,,,,,,
2,0.585248379,0.286377696,0.060542936,0.040746357,0.002233543,0.002918307,0.021932782,Florida St,2019-'20,0.839,17.28,7.64,844,1848,0.457,230,655,0.351,418,557,0.75,350,1099,409,273,162,East,,,,,,,
2,0.639035077,0.255453872,0.100900275,3.20E-04,0.001861201,9.69E-04,0.001459769,Maryland,2019-'20,0.774,17.82,10.5,744,1774,0.419,238,765,0.311,500,669,0.747,348,1184,409,142,134,East,,,,,,,
